Antibody,Control
CD3_TotalSeqC,IgG1_control_TotalSeqC
CD19_TotalSeqC,IgG1_control_TotalSeqC
CD45RA_TotalSeqC,IgG2b_control_TotalSeqC
CD4_TotalSeqC,IgG1_control_TotalSeqC
CD8a_TotalSeqC,IgG1_control_TotalSeqC
CD14_TotalSeqC,IgG2a_control_TotalSeqC
CD16_TotalSeqC,IgG1_control_TotalSeqC
CD56_TotalSeqC,IgG1_control_TotalSeqC
CD25_TotalSeqC,IgG1_control_TotalSeqC
CD45RO_TotalSeqC,IgG2a_control_TotalSeqC
PD-1_TotalSeqC,IgG1_control_TotalSeqC
TIGIT_TotalSeqC,IgG2a_control_TotalSeqC
CD127_TotalSeqC,IgG1_control_TotalSeqC
CD15_TotalSeqC,IgG1_control_TotalSeqC
